Jaar;Tweelingen;Drie(plus-)lingen
1950;2878;30
1951;2872;27
1952;2900;41
1953;2894;30
1954;2943;20
1955;2958;29
1956;2969;44
1957;2934;25
1958;2990;30
1959;3003;28
1960;2952;26
1961;2995;21
1962;3065;30
1963;3015;26
1964;2901;32
1965;2784;20
1966;2626;23
1967;2595;19
1968;2494;22
1969;2593;22
1970;2365;18
1971;2303;24
1972;2218;19
1973;2006;24
1974;1802;26
1975;1715;28
1976;1827;29
1977;1796;29
1978;1744;29
1979;1832;21
1980;1927;25
1981;1932;33
1982;1854;34
1983;1830;22
1984;1991;34
1985;2058;32
1986;2194;31
1987;2250;55
1988;2346;48
1989;2480;78
1990;2690;118
1991;2794;124
1992;2789;115
1993;2825;93

