classifier_id,name,description
1,_CLASSIFIER,Climate unit
1,35,CLU35
1,45,CLU45
1,55,CLU55
1,65,CLU65
2,_CLASSIFIER,Forest management types
2,A,Mngm A
2,B,Mngm B
2,C,Mngm C
2,D,Mngm D
2,E,Mngm E
3,_CLASSIFIER,Species
3,Pine,Other pine
3,FGB,Fast Growing Unspecified broadleaved species - Genus type
3,Sitka,Sitka spruce
3,SGB,Slow Growing Unspecified broadleaved species - Genus type
3,OC,Other Spruce
3,CBmix,Mixed Unspecified broadleaved species - Genus type
4,_CLASSIFIER,Yield classes
4,YC4_12,Yield class 4 to 12
4,YC12_20,Yield class 12 to 20
4,YC13_16,Yield class 13 to 16
4,YC17_20,Yield class 17 to 20
4,YC20_24,Yield class 20 to 24
4,YC24_30,Yield class 24 to 30
4,YC6,Yield class 6
4,YC10,Yield class 10
